Rank,Type,Business,Rating,Address,Distance From Home,Date of Ranking
7,Hookah Bars,Mazaj Cafe Austin,4.5,13376 Research Blvd,0.7309089350663069,2023-03-21
9,Hawaiian,Shoyu Sugar,5.0,9313 Anderson Mill Rd,1.1856198606960053,2023-03-21
14,Asian Fusion,Cafe eden,4.5,12221 Riata Trace Pkwy,2.1498013847395,2023-03-21
6,Chicken Wings,K Pub Chicken & Karaoke,4.5,12233 Ranch Rd 620 N,2.607321951578545,2023-03-21
19,Mediterranean,Almarah Mediterranean Cuisine,4.0,12129 Ranch Rd 620 N,2.665522450585699,2023-03-21
10,American (New),Foxhole Culinary Tavern,4.0,13995 N Hwy 183,2.9276145494732875,2023-03-21
1,Southern,Whip My Soul,5.0,11416 N Fm 620,2.930003086704901,2023-03-21
3,Korean,Narrow Street 512,4.5,11301 Lakeline Blvd,3.266639280904255,2023-03-21
18,Bars,Knotty Deck & Bar,4.0,9721 Arboretum Blvd,3.5876345716081612,2023-03-21
15,Mexican,Bulevar,4.0,9400 Arboretum Blvd,3.5934831043008995,2023-03-21
17,American (New),Roaring Fork,4.0,10850 Stonelake Blvd,3.6695655261316933,2023-03-21
2,Gastropubs,Oasthouse Kitchen + Bar,4.0,8300 N Fm 620,3.685413361290044,2023-03-21
13,Pizza,Smokin' Oak Wood-Fired Pizza & Taproom,4.0,8300 N FM 620,3.7361920955433936,2023-03-21
16,Thai,Green Mango,4.5,8300 N Fm 620,3.7891666212580395,2023-03-21
20,Southern,Moonshine Comfort & Cocktails,4.0,10525 W Parmer Ln,4.42553366869624,2023-03-21
4,Tapas Bars,Frog & The Bull,4.0,4300 N Quinlan Park Rd,6.877636482881189,2023-03-21
12,Italian,Patrizi's,4.5,1705 Cuernavaca,7.885366523282103,2023-03-21
8,Italian,Red Ash,4.5,303 Colorado St,11.791982234103054,2023-03-21
5,Mediterranean,Aba - Austin,4.5,1011 S Congress Ave,12.590345244732738,2023-03-21
11,Vietnamese,1618 Asian Fusion,4.5,1618 East Riverside Dr,13.373002371629118,2023-03-21
